COD_DISTRI,NOM_DISTRI,DIRECCION,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,ZONA,NMT_25,COMPLEMENT,Capital_Pr,Latitud,Longitud
09D20,SALITRE,UNIDAD EDUCATIVA RAFAEL SOTOMAYOR Y LUNA AV CARLOS ARMANDO ROMERO RODAS Y 5 DE NOVIEMBRE UNIDAD EDUCATIVA RAFAEL SOTOMAYOR Y LUNA,91950,EL SALITRE (LAS RAMAS),919,SALITRE,9,GUAYAS,5,DE,MINEDUC,,-1.82695186191,-79.8186695674
09D21,SAN JACINTO DE YAGUACHI,COLEGIO 21 DE JULIO CALLE ABDON CALDERON Y MARCELINO MARIDUENA,92050,SAN JACINTO DE YAGUACHI,920,SAN JACINTO DE YAGUACHI,9,GUAYAS,5,DE,MINEDUC,,-2.09888336539,-79.6945318234
09D22,PLAYAS,CIUDADELA TORBAY KM 1 1 2 VIA AL MORRO,92150,GENERAL VILLAMIL (PLAYAS),921,PLAYAS,9,GUAYAS,5,DE,MINEDUC,,-2.63709968523,-80.3809548195
13D01,PORTOVIEJO,SUCRE Y FRANCISCO PACHECO,130150,PORTOVIEJO,1301,PORTOVIEJO,13,MANABI,4,DE,SENECYT - ZONA DEPORTE,SI,-1.05919983879,-80.4535689673
13D02,MANTA - JARAMIJO - MONTECRISTI,CALLE 20 ENTRE AVENIDA 25 Y 26,130850,MANTA,1308,MANTA,13,MANABI,4,DP,MINEDUC,,-0.94666111131,-80.7348113723
13D03,JIPIJAPA - PUERTO LOPEZ,GUAYAS Y ROCAFUERTE ESQUINA,130650,JIPIJAPA,1306,JIPIJAPA,13,MANABI,4,DE,MINEDUC,,-1.35032407356,-80.5807900735
13D04,SANTA ANA - 24 DE MAYO - OLMEDO,CALLE HORACIO HIDROVO Y AV LUIS ALBERTO GILER COLEGIO NACIONAL HORACIO HIDROVO VELASQUEZ,131350,SANTA ANA DE VUELTA LARGA,1313,SANTA ANA,13,MANABI,4,DE,MINEDUC,,-1.20665089407,-80.3747444641
13D05,EL CARMEN,AVENIDA CHONE ENTRE VICENTE ROCAFUERTE Y CARLOS ALBERTO ARAY FRENTE AL PARQUE CENTRAL,130450,EL CARMEN,1304,EL CARMEN,13,MANABI,4,DE,MINEDUC,,-0.27224319267,-79.4614555763
13D06,BOLIVAR - JUNIN,AV HUMBERTO GONZALEZ ALAVA VIA CALCETA TOSAGUA KM 1 2 ENTRADA AL CAMAL COLEGIO NACIONAL NOCTURNO SIMON BOLIVAR,130250,CALCETA,1302,BOLIVAR,13,MANABI,4,DE,MINEDUC,,-0.84330091949,-80.1705305161
13D07,CHONE - FLAVIO ALFARO,BARRIO SAN FELIPE CALLE TARQUI Y BOYACA JUNTO AL ALBERGUE SEGURO CAMPESINO,130350,CHONE,1303,CHONE,13,MANABI,4,DE,MINEDUC,,-0.6911973634,-80.095859871
